,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
41,六、期末现金及现金等价物余额,1800386806.64,1836228459.28,1705873088.23,1431951691.04,1328596291.87,979360995.97,710118691.27,770050427.77,920634080.03,430523371.26,352507611.31,602354687.93,589573658.49,1071445020.57,441526298.98,566019652.65,692567896.79,589602793.26,736928180.35,619994822.78,669893756.87,647204677.45,629117054.61,835542721.87,884858061.70,932276706.15,902923862.08,668725962.38,841093308.09,956043885.24,803173622.38,667828913.97,1014024416.74,1002302902.57,982362386.39,862194779.22,1151874426.30,1057191976.45,960610001.02,930790908.43,1127134867.17,1065724173.83,1057983159.11,74650996.37,106349946.64,76012034.15,20254467.67,44344260.26,52609626.46,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,0,559071482.93,0,213167743.83,0,544858556.02,0,225583386.21,0,453071628.51,0,175283497.72,0,338813260.40,0,158628555.50,0,423089068.52,0,187225671.66,0,398173688.69,0,157367923.56,0,332154652.15,0,137105896.34,0,382086766.76,0,133686094.25,0,374010138.19,0,162435481.10,0,211825682.56,0,77434140.76,0,146002767.59,0,51051582.18,0,111031977.60,0,85138294.76,49517218.42,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,0,109225098.23,0,50051880.12,0,79761445.14,0,51597733.71,0,65575512.20,0,26957049.12,0,48551810.39,0,6649353.46,0,31301733.23,0,3336644.17,0,16020971.09,0,2690680.83,0,11326349.44,0,2314149.34,0,7773704.88,0,1176562.18,0,6385375.54,0,1288432.13,0,10400653.18,0,2759387.69,0,-348833.67,0,527836.24,0,6621635.07,0,1747683.12,-2139051.24,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,0,37932955.65,0,18854158.57,0,37008246.85,0,18609479.21,0,37807652.42,0,24188662.15,0,35440637.75,0,24114191.11,0,34959961.50,0,17224346.05,0,32829402.24,0,16304147.16,0,27484041.66,0,13633692.06,0,22381991.08,0,10454383.35,0,11203316.28,0,4861813.69,0,7957339.16,0,3978568.60,0,7885187.73,0,3958009.57,0,6177331.71,0,5055507.91,5767930.58,0.0
48,无形资产摊销,0,16133935.74,0,7998861.35,0,15569020.81,0,7943763.73,0,25971884.40,0,8416974.10,0,7090984.57,0,3264639.28,0,5117837.59,0,2391488.03,0,5055901.84,0,2494246.64,0,4350113.88,0,2003224.18,0,3599842.27,0,1780235.23,0,2025721.79,0,690884.18,0,822758.43,0,344885.94,0,516614.44,0,255674.06,0,480260.76,0,480260.76,216882.08,0.0
49,长期待摊费用摊销,0,23293944.35,0,12509843.32,0,33267941.34,0,18216996.62,0,44118084.62,0,18143207.62,0,31691698.71,0,16703937.89,0,27324656.59,0,11520338.15,0,23465747.54,0,11528436.73,0,16426474.23,0,7062238.13,0,14567104.79,0,5027600.82,0,4795014.71,0,391855.77,0,3267896.07,0,-291810.57,0,-4663144.52,0,0,0,0,0,0,0,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
