,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
41,六、期末现金及现金等价物余额,827056916.37,650255864.33,219267565.42,413835370.52,1128183155.87,998541522.04,323867263.37,126749541.70,142180637.64,353077688.10,176774962.17,77709969.37,270775394.36,378387599.16,308623168.83,280301296.61,258997128.23,335374472.70,381388535.86,437201806.14,382729885.91,431946044.71,436589056.86,458561730.76,510704016.39,530976507.77,480847447.64,487562186.14,497580719.63,495168990.55,460073935.03,470291520.70,491800861.91,489391823.66,455942236.24,552392153.23,538514183.28,58388631.41,100886144.38,79095462.52,85979486.77,52224272.92,41659600.55,39711117.70,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,605141874.33,0,314822842.20,0,661719638.12,0,305246085.31,0,414142244.09,0,171951578.21,0,257228870.02,0,115884621.88,0,157369576.68,0,90978705.37,0,131992980.45,0,86972191.66,0,140647110.24,0,75222270.70,0,126453477.58,0,58085868.52,0,88404515.74,0,38113088.53,0,55745574.35,0,30833337.54,0,41555715.09,0,33777641.26,28418971.86,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,-299473.03,0,584623.30,0,2882102.34,0,798890.84,0,2678462.91,0,279263.53,0,356251.49,0,145777.33,0,148557.75,0,56946.52,0,-140140.70,0,135551.03,0,1861.06,0,105485.41,0,98818.25,0,166693.60,0,-18846.29,0,223257.11,0,-25472.85,0,-33448.80,0,16450.35,0,953794.09,190355.25,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,66180345.54,0,31301328.09,0,54810636.57,0,27721642.48,0,56152665.13,0,27536165.30,0,53172418.70,0,25132534.32,0,39439218.03,0,19331003.62,0,32154586.70,0,15634585.24,0,32050395.42,0,16561900.93,0,30576488.05,0,14510387.10,0,25672003.71,0,12172366.33,0,23068921.66,0,11092879.69,0,20732918.12,0,18565315.53,18516613.21,0.0
48,无形资产摊销,3545191.31,0,1737548.61,0,2943234.31,0,1374726.50,0,2795847.65,0,849354.04,0,2922276.87,0,1461138.57,0,2258450.75,0,1021458.90,0,1987132.86,0,991263.18,0,1140379.46,0,450507.87,0,425871.21,0,565678.40,0,305651.66,0,133658.88,0,255887.06,0,128536.84,0,256884.68,0,161391.70,33143.67,0.0
49,长期待摊费用摊销,3212.04,0,1606.02,0,30037.45,0,28431.43,0,74349.60,0,37174.80,0,74349.52,0,-37174.72,0,21843.98,0,0,0,171666.51,0,95000.04,0,420769.29,0,325769.25,0,651538.55,0,325769.27,0,326025.64,0,0,0,0,0,0,0,0,0,0,0,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
