,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
39,五、现金及现金等价物净增加额,425627881.22,-73041562.57,-332412036.79,-132802286.00,15050420.73,-747170825.32,-850949058.19,-395946048.91,96226848.12,29045890.75,-235596342.99,-260066669.85,360982269.58,35924865.48,-307178395.77,-231150738.67,1723666112.85,751760460.74,604331237.22,129083077.42,162190934.14,21191219.95,-30291075.55,-29487039.05,24658034.34,-25756949.08,-26963191.45,-16356807.60,-26841505.53,-34054062.12,-40533271.91,-20682498.08,-138565774.76,-141766387.32,-47820324.37,-22665790.50,108760825.56,44743601.52,10460979.28,-10348370.95,961072507.83,72677033.52,33638555.60,10799379.85,19963948.12,7635062.40,59342288.33,3973452.67,0.0
40,加:期初现金及现金等价物余额,3377471041.81,3377471041.81,3377471041.81,3377471041.81,3362420621.08,3362420621.08,3362420621.08,3362420621.08,3266193772.96,3266193772.96,3266193772.96,3266193772.96,2905211503.38,2905211503.38,2905211503.38,2905211503.38,1181545390.53,1181545390.53,1181545390.53,1181545390.53,1019354456.39,1019354456.39,1019354456.39,1019354456.39,994696422.05,994696422.05,994696422.05,994696422.05,1021537927.58,1021537927.58,1021537927.58,1021537927.58,1160103702.34,1160103702.34,1160103702.34,1160103702.34,1051342876.78,1051342876.78,1051342876.78,1051342876.78,90270368.95,90270368.95,90270368.95,90270368.95,70306420.83,70306420.83,10964132.50,6990679.83,0.0
41,六、期末现金及现金等价物余额,3803098923.03,3304429479.24,3045059005.02,3244668755.81,3377471041.81,2615249795.76,2511471562.89,2966474572.17,3362420621.08,3295239663.71,3030597429.97,3006127103.11,3266193772.96,2941136368.86,2598033107.61,2674060764.71,2905211503.38,1933305851.27,1785876627.75,1310628467.95,1181545390.53,1040545676.34,989063380.84,989867417.34,1019354456.39,968939472.97,967733230.60,978339614.45,994696422.05,987483865.46,981004655.67,1000855429.50,1021537927.58,1018337315.02,1112283377.97,1137437911.84,1160103702.34,1096086478.30,1061803856.06,1040994505.83,1051342876.78,162947402.47,123908924.55,101069748.80,90270368.95,77941483.23,70306420.83,10964132.50,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,897675406.14,0,264566180.00,0,633934218.67,0,191096248.39,0,725653800.79,0,286406036.92,0,1211576655.51,0,363943564.75,0,957222809.96,0,224441917.33,0,60455517.41,0,12711114.12,0,21921943.83,0,10894325.65,0,25946246.40,0,19119601.72,0,61731605.79,0,34469601.54,0,91266854.73,0,42767617.10,0,74735230.00,0,33769613.48,0,38345511.60,0,46515111.79,8604911.22,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,2961375.29,0,98499.14,0,19338650.40,0,-926004.09,0,33748.61,0,-701054.94,0,-371222.46,0,-147568.57,0,1866222.24,0,1884940.81,0,784061.25,0,563502.74,0,128480.56,0,73280.85,0,-57650.01,0,-7875.61,0,355112.14,0,-258052.35,0,1277870.49,0,402133.50,0,4721.47,0,251573.22,0,72480.86,0,-2274863.60,1618711.60,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,36009810.26,0,17978433.80,0,35230857.04,0,18127950.23,0,36313184.35,0,17851971.51,0,33633241.40,0,16068442.45,0,15947262.95,0,6532318.62,0,12565413.24,0,6457685.48,0,10522216.50,0,5377310.15,0,10581492.23,0,5206809.65,0,8018841.11,0,3668933.99,0,6342238.43,0,2620231.34,0,4435048.13,0,2088955.78,0,2403529.60,0,1224876.20,1096729.38,0.0
48,无形资产摊销,2276298.36,0,1167565.50,0,2608563.00,0,1502281.50,0,2176563.00,0,1088281.50,0,1467579.00,0,379297.50,0,758595.00,0,379297.50,0,758595.00,0,379297.50,0,758595.00,0,379297.50,0,758595.00,0,368250.00,0,613750.00,0,245500.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
49,长期待摊费用摊销,94339.68,0,47169.84,0,261006.29,0,147169.86,0,239308.18,0,100000.02,0,1569954.80,0,705058.05,0,1243447.84,0,643936.80,0,1337327.72,0,726949.73,0,1375272.90,0,676322.67,0,1402216.35,0,885364.95,0,1479785.32,0,809892.66,0,1187329.31,0,209550.00,0,419100.00,0,209550.00,0,419100.00,0,419100.00,419100.00,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,0,0,0,0,-37970.28,0,-37970.28,0,0,0,23899.38,0,373483.75,0,241232.33,0,183088.73,0,52991.19,0,375536.95,0,212718.05,0,291509.57,0,134470.47,0,225153.61,0,118512.05,0,16026.62,0,8316.53,0,75173.27,0,0,0,96656.92,0,0,0,-59314.59,0,-2000.00,34131.72,0.0
53,固定资产报废损失,435234.03,0,165402.74,0,480774.77,0,506632.81,0,125361.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841.73,0,0,0,8250.97,0,18076.05,0,25050.30,0,0.0
54,公允价值变动损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,预计负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,财务费用,2567033.21,0,1007793.17,0,-1085984.07,0,-1836498.57,0,-3035025.23,0,-2185994.95,0,-143914.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44250.00,0,44250.00,0,301437.50,0,43312.50,0,47643.75,0,-355000.00,0,0.0
58,投资损失,-11983529.98,0,-1640051.36,0,-9445240.10,0,-7481768.14,0,-42800738.13,0,-38112704.33,0,-180614328.17,0,-93638425.33,0,-242732039.68,0,-74651142.71,0,-21423570.00,0,-810489.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-531231.07,-819278.02,0.0
59,递延所得税资产减少,215655.20,0,19879.21,0,242748.20,0,372706.32,0,1923206.15,0,2532491.23,0,-2207367.14,0,136001.74,0,-503911.14,0,-498807.70,0,-715752.49,0,-38626.63,0,103977.14,0,-6455.73,0,-413315.79,0,9995.79,0,10514.81,0,-176538.19,0,-308293.48,0,4343.64,0,-374.78,0,-7293.80,0,-67305.18,0,839855.31,-28092.33,0.0
60,递延所得税负债增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
61,存货的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54307.17,0.0
62,经营性应收项目的减少,-163557625.77,0,-121790048.90,0,22127561.70,0,25406175.31,0,2733148.41,0,-97087786.32,0,57731995.76,0,-10812569.48,0,-106258209.93,0,-479293382.82,0,-7539096.41,0,-16193879.83,0,5542565.50,0,-7779247.28,0,-998035.73,0,-2779697.82,0,2019078.88,0,-4775469.90,0,-25129855.35,0,-15815900.19,0,802674.01,0,-2961660.64,0,-4372754.84,0,2023418.61,1322166.40,0.0
