,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20081231,20071231,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14255500.00,3395350.21,-1774771.84,1514686.34,0.0
52,处置固定资产、无形资产和其他长期资产的损失,0,-15670592.71,0,-87751449.36,0,203453.22,0,-1118140.28,0,-5484396.65,0,1647977.75,0,-851809.12,0,-67134467.79,0,-562487.97,0,200261.39,0,63613.89,0,1145113.96,0,266231.56,0,-109291.13,0,-218319.36,0,357524.33,0,49054.35,0,315754.69,0,0,0,36769.62,104643.72,60900.00,0,0,0,0.0
53,固定资产报废损失,0,-394859.53,0,0,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
54,公允价值变动损失,0,1055853.39,0,0,0,-131861.49,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,预计负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,财务费用,0,181588882.90,0,222182363.92,0,153097592.63,0,98921735.39,0,16704949.73,0,14125304.71,0,16922815.45,0,31119176.84,0,29603165.18,0,62521717.24,0,6154974.68,0,26435915.61,0,19781600.34,0,10250300.39,0,9076434.89,0,27521804.94,0,9970172.57,0,20800188.16,0,0,0,12740168.96,21120891.89,13051600.00,10721920.87,4420783.10,1624951.15,0.0
58,投资损失,0,0,0,0,0,0.00,0,-9110236.93,0,-1361817.36,0,-3142810.18,0,0,0,-1162372.76,0,-766832.76,0,-2751327.45,0,-790067.79,0,-7708069.26,0,-6848468.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-220589.42,0,0,0,0,0.0
59,递延所得税资产减少,0,-7509453.26,0,1866646.90,0,-31690827.76,0,33178166.68,0,34783206.88,0,-11566097.89,0,-27379722.80,0,-29909662.87,0,-15617675.75,0,-2480727.96,0,-9974415.54,0,1062478.15,0,-2210538.77,0,-4107849.95,0,-6498511.63,0,-2552771.17,0,-2262527.54,0,-1308615.08,0,0,0,264698.70,31023.05,0,0,0,0,0.0
60,递延所得税负债增加,0,-3783843.11,0,-779068.04,0,-3978589.07,0,-62416170.29,0,-60602764.22,0,1391643.87,0,1152016.29,0,1269983.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
