,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
59,递延所得税资产减少,0,762144.20,0,-3449097.18,0,1858100.92,0,1436386.54,0,853181.40,0,-2450588.07,0,104358.98,0,-3666492.75,0,0,0,-2547794.03,0,0,0,-877569.30,0,-153731.04,0,-558975.72,0,-170817.89,0,-396782.75,0,0,0,-107114.13,0,0,0,-91048.42,0,0,134644.96,-35183.82,0.0
60,递延所得税负债增加,0,-334978.44,0,-910926.22,0,-469065.93,0,-938131.86,0,-469065.94,0,-354047.40,0,-79676.30,0,-159352.58,0,-79676.30,0,-227063.90,0,0,0,67711.32,0,67711.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
61,存货的减少,0,-43297360.49,0,-16122943.29,0,-18668411.35,0,-15274158.26,0,-14943088.12,0,4541784.01,0,-1454426.71,0,-16332193.57,0,9985933.73,0,-18147929.40,0,-19895703.51,0,-2284183.92,0,256581.88,0,-5281680.12,0,-2787990.72,0,-6381138.85,0,-8801486.03,0,-6079236.52,0,0,0,-2325972.51,0,0,-4058291.12,-625220.61,0.0
62,经营性应收项目的减少,0,124297975.99,0,-49990934.88,0,33674544.05,0,-124974605.21,0,24049857.17,0,31928550.02,0,7491967.31,0,15036905.28,0,5348291.42,0,-54856395.86,0,-56414572.79,0,-28316368.14,0,-5755617.40,0,-63636821.06,0,-11720449.68,0,-126584708.98,0,-30104665.64,0,-28569469.68,0,0,0,-15094572.29,0,0,-6640926.70,-14365324.82,0.0
63,经营性应付项目的增加,0,1244409.31,0,-26486205.38,0,-6966067.85,0,68374806.50,0,-9248431.29,0,1938645.08,0,-20964896.83,0,-32808251.60,0,-9881154.87,0,5383624.14,0,29675668.21,0,-8319943.73,0,-2817605.71,0,2344423.77,0,-6803534.63,0,80376205.54,0,19448443.53,0,8210928.42,0,0,0,5586929.85,0,0,-19196204.30,-4183167.84,0.0
64,已完工尚未结算款的减少(减:增加),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,已结算尚未完工款的增加(减:减少),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,其他,0,1631600.00,0,6438600.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
67,经营活动产生现金流量净额,0,72028208.73,0,44816785.80,0,32909417.17,0,69851205.04,0,19999193.23,0,98308601.42,0,-6152264.99,0,10073220.70,0,3139172.86,0,-15475731.75,0,-17718570.00,0,43031250.37,0,33691252.42,0,39728460.89,0,22108173.37,0,42062156.84,0,11760100.71,0,40788669.10,0,0,0,40539303.18,0,0,10259002.79,-2918217.18,0.0
68,债务转为资本,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
