,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
41,六、期末现金及现金等价物余额,248404445.77,200863805.53,170418821.23,230455683.07,191043950.67,156553454.36,227204697.74,246489065.09,225469950.88,50548641.48,133685733.37,145492275.61,86274609.13,215972665.83,196134805.88,289085238.25,268424698.12,154757392.05,139009209.81,141305828.05,145283001.50,141334841.04,223012166.52,243467737.29,245555013.09,227517128.20,205874274.85,256557774.70,267282351.00,238941621.17,249616473.19,298121489.45,319144109.19,299790297.98,296174488.94,308302689.35,311421080.06,295134954.26,290795274.28,289581812.57,334352413.44,47463297.45,36014499.96,22703296.73,21384729.29,19508249.61,33840682.56,31294822.78,23630264.66,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,342438319.29,0,112021386.39,0,147761859.10,0,84691176.56,0,118816656.25,0,71960354.83,0,15505086.30,0,55820755.81,0,30916099.66,0,59355263.88,0,94164696.13,0,41493607.73,0,65971720.38,0,32744605.43,0,63038705.57,0,30075542.54,0,44211751.47,0,19582869.94,0,42754198.83,0,22591665.35,0,34956114.61,0,17093702.96,0,26076345.39,0,16600215.79,27596763.94,12098758.33,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,496529.91,0,2056785.53,0,3818513.54,0,2857698.05,0,3206124.17,0,2958953.71,0,-862871.12,0,1898780.85,0,62700496.53,0,4342041.25,0,3107501.61,0,2875579.65,0,2903401.45,0,3055303.01,0,1594108.05,0,1891182.21,0,360918.66,0,718029.52,0,1099127.95,0,1154985.57,0,-79909.96,0,258314.98,0,453634.65,0,981732.01,960112.73,1185762.64,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,19123568.42,0,9490153.61,0,16099398.52,0,8086903.38,0,16069832.33,0,7986313.32,0,16839958.21,0,9458634.92,0,16524549.32,0,7641426.60,0,11536227.00,0,5252442.77,0,7647882.70,0,2916390.24,0,5573052.35,0,2715265.71,0,5055082.55,0,2470395.08,0,4352481.25,0,1880064.59,0,2993131.29,0,1435094.16,0,3018606.09,0,1483055.07,3041973.72,2958197.31,0.0
48,无形资产摊销,1498339.15,0,742267.03,0,1460453.20,0,689856.68,0,1338603.55,0,657501.85,0,3374167.87,0,1735196.24,0,3227843.72,0,1559001.34,0,1119354.40,0,389938.35,0,631980.29,0,298612.16,0,411697.86,0,195988.36,0,362297.25,0,169278.97,0,333780.15,0,165073.83,0,805203.69,0,486148.17,0,972296.46,0,460061.25,817173.96,817173.96,0.0
49,长期待摊费用摊销,458193.56,0,188487.32,0,400426.56,0,200213.28,0,387979.12,0,206824.92,0,1534161.54,0,1176242.54,0,1818587.32,0,206072.12,0,354232.10,0,128483.92,0,201459.54,0,116373.18,0,196767.96,0,94077.30,0,187365.84,0,93288.54,0,276807.69,0,49127.51,0,250704.31,0,155261.04,0,310522.08,0,155261.04,310522.08,310522.08,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,-95754.88,0,0,0,-66983.96,0,-30134.97,0,-18488.62,0,0,0,90003.13,0,28907.35,0,381619.49,0,371607.05,0,7067.19,0,0,0,1765.92,0,0,0,79044.60,0,0,0,-249428.15,0,0,0,16593.58,0,0,0,-33219.17,0,-34014.73,0,935.64,0,0,1463.93,1861.38,0.0
53,固定资产报废损失,442936.73,0,735.79,0,138114.58,0,43663.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
54,公允价值变动损失,-175281648.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,预计负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,财务费用,0,0,0,0,0,0,0,0,0,0,0,0,706149.66,0,706149.66,0,3797584.25,0,1935017.97,0,232777.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186550.00,0,115675.00,0,543670.00,0,727425.00,1093882.00,1387767.78,0.0
58,投资损失,-27860876.35,0,-15059861.79,0,-13800149.86,0,-3114559.53,0,-19154277.78,0,-928979.76,0,77736048.82,0,1675733.53,0,1054395.80,0,61134.11,0,187527.93,0,0,0,-2678581.16,0,-2678561.16,0,0,0,0,0,0,0,0,0,-1357.18,0,0,0,0,0,0,0,0,0,0,0,-346342.49,0.0
59,递延所得税资产减少,-106301.12,0,169220.72,0,10432153.20,0,10274155.43,0,1314409.60,0,-2309298.13,0,-11580682.84,0,1847485.97,0,1256733.54,0,1482419.01,0,-2878880.19,0,-259719.45,0,-230016.40,0,-362939.13,0,-2545594.91,0,172437.72,0,-2639819.72,0,-107704.43,0,16985.80,0,-197786.82,0,91737.86,0,12404.42,0,128204.40,0,265114.99,-98316.05,-119490.78,0.0
60,递延所得税负债增加,29820292.99,0,1134941.51,0,0,0,0,0,0,0,0,0,0,0,-179241.91,0,-392987.40,0,-205509.17,0,3168927.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
61,存货的减少,-27965202.16,0,-41073366.79,0,15129588.18,0,28395600.50,0,-5143676.03,0,-14579361.70,0,-25759736.39,0,13805209.89,0,-1294433.42,0,26400084.35,0,-24667777.75,0,-3776750.61,0,6617781.81,0,748483.84,0,-39216371.53,0,-13349547.06,0,-1526435.52,0,-4280136.94,0,-651728.25,0,930466.87,0,-7424091.64,0,-3021403.19,0,-2470506.41,0,-4916005.33,-4751731.70,-1615197.66,0.0
62,经营性应收项目的减少,-23990751.73,0,-35563180.32,0,-22375021.03,0,-86326981.34,0,14319494.12,0,-28215026.73,0,-20548222.42,0,-57220035.53,0,-22425368.98,0,-75003440.50,0,-63136906.23,0,-45446084.23,0,-41262048.99,0,-48098047.93,0,-19125655.84,0,-38012198.61,0,-11303524.11,0,-13170393.50,0,-566237.57,0,-19673481.51,0,30282903.33,0,9508957.14,0,-27773570.60,0,-35842716.12,-7411202.44,-9622370.74,0.0
