,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
39,五、现金及现金等价物净增加额,-72689712.02,-768327.98,-7138699.65,-720114.61,17396572.38,39289605.81,58121299.44,107235494.96,109473246.57,79176495.07,98395285.18,29156863.64,19442040.64,20766981.72,3485101.72,-10877920.96,13101688.71,577111.66,-5353789.64,-6202875.77,-21052362.72,-17773662.40,-6608753.68,22843374.21,41921889.18,25334121.66,3430021.80,-67561296.36,-52388397.43,-47936311.75,-28896253.51,-43473407.97,-44520938.85,-33918857.29,-30574105.80,-24302493.96,-15309577.69,-16746435.81,-14602589.13,-46305029.04,-57621822.59,-34729597.85,-35747624.12,120490153.35,131169987.67,-59995240.17,-38870246.08,40138663.54,-5449018.45,-11770012.12,18493159.70,-24090746.31,0.0
40,加:期初现金及现金等价物余额,163844587.41,163844587.41,163844587.41,158095312.85,163615363.08,163615363.08,163615363.08,50859817.89,72450017.13,72450017.13,72450017.13,21702954.25,30703004.25,30703004.25,30703004.25,32580875.21,39400875.21,39400875.21,39400875.21,38783750.98,56963750.98,56963750.98,56963750.98,15940376.77,28060376.77,28060376.77,28060376.77,83501673.13,97382273.13,97382273.13,97382273.13,126975081.10,126975081.10,126975081.10,126975081.10,151277575.06,151277575.06,151277575.06,151277575.06,197582604.10,197582604.10,197582604.10,197582604.10,77092450.75,77092450.75,77092450.75,73864926.13,36953787.21,36953787.21,36953787.21,18460627.51,42551373.82,0.0
41,六、期末现金及现金等价物余额,91154875.39,163076259.43,156705887.76,157375198.24,181011935.46,202904968.89,221736662.52,158095312.85,181923263.70,151626512.20,170845302.31,50859817.89,50145044.89,51469985.97,34188105.97,21702954.25,52502563.92,39977986.87,34047085.57,32580875.21,35911388.26,39190088.58,50354997.30,38783750.98,69982265.95,53394498.43,31490398.57,15940376.77,44993875.70,49445961.38,68486019.62,83501673.13,82454142.25,93056223.81,96400975.30,126975081.10,135967997.37,134531139.25,136674985.93,151277575.06,139960781.51,162853006.25,161834979.98,197582604.10,208262438.42,17097210.58,34994680.05,77092450.75,31504768.76,25183775.09,36953787.21,18460627.51,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,0,-5772079.38,0,-68886977.59,0,5885298.20,0,18793250.74,0,15044440.97,0,7068234.41,0,3265774.33,0,-32846025.98,0,-10909349.95,0,8254708.90,0,1789348.52,0,6186255.30,0,1910391.38,0,-51255147.93,0,-16756570.96,0,-15036744.53,0,-10891044.28,0,12400631.97,0,1035954.36,0,18654919.50,0,10507781.18,0,32041794.51,0,0,0,31091663.09,0,0,27488290.91,16819117.10,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,0,0,0,24597519.31,0,-142651.49,0,9232261.83,0,0,0,1739625.21,0,-64663.30,0,8580682.58,0,0,0,1885871.00,0,0,0,2900747.30,0,0,0,5338669.20,0,0,0,1787936.51,0,0,0,1186531.17,0,14120.37,0,39323.82,0,126648.00,0,1255299.36,0,0,0,243475.93,0,0,1096897.83,448825.24,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,0,32524226.59,0,61282184.27,0,29005077.78,0,64738808.64,0,30537440.82,0,39654876.35,0,19985359.76,0,37105069.82,0,18750638.03,0,39182719.52,0,20225840.06,0,38110030.28,0,19132372.27,0,43590111.56,0,18846484.87,0,38400421.47,0,18126190.07,0,29623341.91,0,14212117.10,0,22610290.01,0,11065047.61,0,20490263.73,0,0,0,16968605.92,0,0,13994362.60,16406757.10,0.0
48,无形资产摊销,0,359250.30,0,9435121.81,0,300893.34,0,9633121.00,0,443189.12,0,480851.84,0,142859.38,0,539553.40,0,308144.53,0,810867.38,0,420305.52,0,831209.12,0,415177.20,0,564346.61,0,245894.56,0,448667.30,0,213865.06,0,317970.34,0,116908.97,0,66384.54,0,30688.66,0,71920.32,0,0,0,362980.08,0,0,856000.00,864000.00,0.0
