,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
1641,603969,银龙股份,2.1234,1.8219999999999998,17.3318,2208.3489,62.891000000000005,37.109
1642,000682,东方电子,2.3268,1.6628,71.3603,-460.8454,62.8609,37.1391
1643,300496,中科创达,1.6616,1.6117,87.1607,1980.6927,62.839,37.161
1644,600379,宝光股份,2.3673,1.7232,36.8762,2344.1929,62.8362,37.1638
1645,600075,新疆天业,0.7942,0.4538,11.3297,224.1059,62.8306,37.1694
1646,002094,青岛金王,2.1265,1.6419,47.0547,870.258,62.8191,37.1809
1647,000665,湖北广电,0.6732,0.6719,11.5873,799.0374,62.7864,37.2136
1648,002385,大北农,1.2655,0.9106,37.8848,362.0111,62.769,37.231
1649,300600,瑞特股份,2.0297,1.6881,39.1403,6368.0115,62.7253,37.2747
1650,300106,西部牧业,1.3389,0.9798,17.4853,237.4142,62.699,37.301
1651,300092,科新机电,2.0806,1.3945,20.9459,4802.6447,62.6682,37.3318
1652,000733,振华科技,3.5381,2.9964,43.8139,817.5723,62.6616,37.3384
1653,002028,思源电气,2.0437,1.5298,37.6978,-14378.2297,62.6379,37.3621
1654,601606,长城军工,2.3159,1.5344,26.6911,222.1388,62.6086,37.3914
1655,600843,上工申贝,2.8258,1.791,57.7245,1921.5731,62.5763,37.4237
1656,000695,滨海能源,2.8063,2.3945,93.7706,407.5985,62.5763,37.4237
1657,603214,爱婴室,2.2609,1.2996,105.3486,-2734.2238,62.5703,37.4297
1658,600288,大恒科技,1.931,1.2847,18.91,734.5136,62.57,37.43
1659,603601,再升科技,1.3978,1.1981,29.725,2065.3045,62.5553,37.4447
