,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
1915,600199,金种子酒,0.09,-43.75,,2.34,,5208.23,-41.19,10派0.3,04-19
1916,600597,光明乳业,0.34,-26.09,,9.34,,41833.0,-26.34,10派1.2,04-19
1917,000738,航发控制,0.17,6.07,,4.22,,19624.58,6.09,10派0.2,04-19
1918,600706,曲江文旅,0.27,68.75,,5.93,,4792.16,64.81,,04-19
1919,600330,天通股份,0.09,342.86,,2.45,,7318.24,439.43,,04-19
1920,300311,任子行,0.26,-29.73,,9.5,,6537.11,58.07,,04-19
1921,600185,格力地产,2.37,338.89,,40.12,,137076.5,337.72,10派2转18,04-19
1922,002406,远东传动,0.16,-65.22,,4.28,,9248.19,-28.35,,04-19
1923,002100,天康生物,0.27,-43.75,,10.9,,24579.32,18.38,,04-19
1924,002783,凯龙股份,1.56,-8.77,,13.66,,9759.38,-8.92,,04-19
1925,601718,际华集团,0.3,0.0,,9.14,,115264.84,-1.75,,04-19
1926,600478,科力远,0.01,-108.63,,0.63,,746.38,-116.25,10转5,04-19
1927,300010,立思辰,0.2,-46.29,,8.43,,13014.88,29.67,,04-19
1928,002664,长鹰信质,0.51,-45.16,,14.48,,20218.92,8.77,,04-19
1929,600190,锦州港,0.06,-41.4,,2.2,,12906.58,-41.55,10派0.2,04-19
1930,000889,中嘉博创,0.25,15.1,,7.05,,15360.32,55.54,10派0.25,04-19
1931,000415,渤海租赁,0.37,-32.73,,12.28,,130446.8,42.85,,04-19
1932,600121,郑州煤电,-0.54,-993.33,,-14.22,,-54425.08,-973.69,,04-19
1933,000625,长安汽车,2.13,31.48,,33.14,,995271.42,31.63,10派6.4,04-19
1934,002708,光洋股份,0.09,-74.03,,4.04,,3650.38,-42.04,,04-19
1935,600220,江苏阳光,0.06,40.86,,6.37,,11125.42,40.97,,04-19
1936,002416,爱施德,0.14,386.21,,3.21,,14063.13,382.54,,04-19
1937,600867,通化东宝,0.43,59.26,,21.81,,49295.9,76.19,10派2送2,04-19
1938,600526,菲达环保,0.17,21.43,,3.92,,8396.22,50.53,10派1,04-19
1939,002336,*ST人乐,-1.19,3.08,,-19.11,,-47472.96,3.09,,04-19
1940,000591,太阳能,0.65,4509.93,,8.18,,47275.49,12081.73,,04-19
1941,300020,银江股份,0.18,-73.53,,5.06,,11121.0,-39.46,,04-19
1942,002131,利欧股份,0.19,-60.42,,10.72,,22541.05,25.29,,04-19
1943,300219,鸿利智汇,0.25,-32.43,,15.52,,15218.62,67.4,,04-19
1944,600782,新钢股份,0.04,-85.0,,0.75,,6055.96,-85.1,10派0.3,04-19
1945,600872,中炬高新,0.31,-13.78,,10.16,,24727.03,-13.78,10派1,04-19
1946,002001,新和成,0.37,-50.0,,5.74,,40206.78,-50.24,10派2,04-19
1947,002696,百洋股份,0.32,1.34,,5.91,,5707.84,1.2,,04-19
1948,002736,国信证券,1.7,142.86,,33.86,,1394903.4,183.08,10派6,04-18
1949,300498,温氏股份,1.71,103.57,,34.95,,620536.66,132.94,10派5转2,04-18
1950,300391,康跃科技,0.03,-94.05,,1.39,,502.8,-82.49,,04-18
