,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20121231,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
72,长期应付款(合计),1058785476.20,1113929530.17,1103821195.79,926246717.47,794101973.78,876856723.87,632162438.87,187192361.30,231689782.75,0,170358870.94,0,221433126.84,0,166294567.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,长期应付款,1058785476.20,0,1103821195.79,0,794101973.78,876856723.87,632162438.87,187192361.30,231689782.75,144568788.02,170358870.94,201885087.01,221433126.84,148677733.72,166294567.74,186359176.16,105000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,503983.00,503983.00,503983.00,503983.00,503983.00,503983.00,503983.00,503983.00,503983.00,503983.00,503983.00,503983.00,503983.00,503983.00,503983.00,503983.00,503983.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
76,递延所得税负债,18821408.13,18867313.47,18976800.76,19086288.06,19195775.36,19713031.41,19858484.95,20003938.50,20149392.05,19634219.09,19753785.95,20494559.31,19992919.65,19913676.93,20015943.52,20606781.23,20220476.69,19667125.69,19742178.87,19817232.03,19892285.21,19272952.54,19311492.46,19350032.37,19388572.29,19427100.00,19489412.13,19592777.96,19696891.63,19851051.30,20006576.00,0.0
77,长期递延收益,8905616.86,9426985.63,9948354.40,11858612.03,5992063.57,7897294.38,9802525.29,11207756.20,12946320.43,7730627.79,9469192.02,11656565.78,11666666.76,9722222.33,4444444.60,5000000.12,5555555.54,8025396.84,10495238.10,12965079.36,15434920.62,0,0,0,0,0,0,0,0,0,0,0.0
78,其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,300000000.00,300000000.00,0,0,0,0,0,0,17228571.42,19142857.14,21057142.86,22971428.57,24885700.00,16800000.00,19200000.00,857142.86,479461.28,2415525.28,0.0
79,非流动负债合计,1884516484.19,1952727812.27,1984750333.95,1643695600.56,1443793795.71,1114971032.66,898577432.11,455158039.00,510289478.23,847407617.90,875065831.91,509540195.10,528596696.25,573817615.98,551258938.86,272469940.51,131280015.23,220330688.53,453329236.97,212782311.39,215327205.83,36501523.96,38454349.60,40407175.23,42360000.86,174312800.00,166289412.13,68792777.96,20554034.49,20330512.58,79662001.28,0.0
80,负债合计,7167377115.52,7684166879.93,7457370960.51,7250985549.35,6972998258.95,6061865849.88,6045470263.47,5847826610.83,6354421840.95,7461466263.98,6078769866.94,5545587591.11,5456047911.22,3987029291.46,3821443382.12,3322282635.52,3084226417.63,2248369746.04,2009704183.03,1666279659.91,1432571704.44,1043421822.50,1023279305.64,946321448.07,926166864.85,645653300.00,562646722.06,426772967.64,208398947.24,208078426.77,381478470.12,0.0
81,所有者权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,实收资本(或股本),2319825036.00,2327886356.00,2327886356.00,2327886356.00,2327886356.00,2327886356.00,2330046156.00,2328673956.00,2329001956.00,2329001956.00,2303834556.00,575958639.00,575958639.00,575958639.00,500920000.00,500920000.00,250460000.00,250460000.00,250460000.00,178900000.00,178900000.00,178900000.00,89450000.00,89450000.00,78060000.00,78060000.00,78060000.00,78060000.00,78060000.00,78060000.00,77100000.00,0.0
83,资本公积,287979188.57,332015888.05,339980490.48,339891458.86,339307609.71,335659484.07,344251954.74,333308670.43,330641607.95,323651929.02,192343021.02,1910044816.34,1910044816.34,1911636327.70,59831592.98,59831592.98,60216785.84,58342760.03,58342760.03,129603613.10,129603613.10,128933888.50,218385613.10,221473834.59,50691858.76,50691900.00,50691858.76,50691858.76,50691858.76,50691858.76,44298637.14,0.0
84,减：库存股,37997875.20,142386656.00,142386656.00,142386656.00,142386656.00,142386656.00,155172672.00,147049248.00,148991008.00,148991008.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
85,其他综合收益,-114686.46,111366.05,105279.01,68674.07,86487.58,89305.86,26730261.25,13334.12,47248.53,82679.95,91626.42,249665.43,252958.16,60313.38,57202.36,46635.68,48848.03,32172.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
86,专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
87,盈余公积,234775105.79,223304013.33,223304013.33,223304013.33,223304013.33,190342542.72,190342542.72,190342542.72,190342542.72,133433580.90,133433580.90,133433580.90,133433580.90,85130650.23,85130650.23,85130650.23,85130650.23,57253773.03,57253773.03,57253773.03,57253773.03,39030000.00,39030000.00,39030000.00,39030000.00,39030000.00,39030000.00,39030000.00,39030000.00,38597402.37,23985062.46,0.0
88,一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
89,未分配利润,2451105677.33,2450451078.31,2377895897.17,2197676811.31,2109048009.33,2133319712.68,2012954208.44,1734468752.10,1649568107.96,1516798157.50,1309861511.49,1103640094.71,1044244532.73,892006135.91,774766168.60,656254325.77,936482068.98,872907215.99,790886257.11,743864986.36,718193535.89,686797759.86,639058657.78,627194181.96,595977522.11,541975100.00,502424003.93,437539619.85,315780521.22,188381992.77,169876698.30,0.0
90,归属于母公司股东权益合计,5255572446.03,5191382045.74,5126785379.99,4946440657.57,4857245819.95,4844910745.33,4749152451.15,4439758007.37,4350610455.16,4153977295.37,3939564295.83,3723326796.38,3663934527.13,3464792066.22,1420705614.17,1302183204.66,1332338353.08,1238995921.77,1156942790.17,1109622372.49,1083950922.02,1033661648.36,985924270.88,977148016.55,763759380.87,709757000.00,670205862.69,605321500.00,483562379.98,355731253.90,315260397.90,0.0
91,少数股东权益,254008448.05,282095490.96,150643306.82,139346153.13,123772059.47,46451162.33,49346590.20,47016854.38,45272209.71,46224218.44,47009931.45,59136390.62,48391179.53,20487095.19,22575977.10,17584982.47,20589018.82,5585052.77,10103810.72,5416455.25,5446609.31,178538.34,0,1318875.33,1622468.89,1795100.00,1963254.54,0,0,0,1309037.63,0.0
92,所有者权益(或股东权益)合计,5509580894.08,5473477536.70,5277428686.81,5085786810.70,4981017879.42,4891361907.66,4798499041.35,4486774861.75,4395882664.87,4200201513.81,3986574227.28,3782463187.00,3712325706.66,3485279161.41,1443281591.27,1319768187.13,1352927371.90,1244580974.54,1167046600.89,1115038827.74,1089397531.33,1033840186.70,985924270.88,978466891.88,765381849.76,711552100.00,672169117.23,605321478.61,483562379.98,355731253.90,316569435.53,0.0
93,负债和所有者权益(或股东权益)总计,12676958009.60,13157644416.63,12734799647.32,12336772360.05,11954016138.37,10953227757.54,10843969304.82,10334601472.58,10750304505.82,11661667777.79,10065344094.22,9328050778.11,9168373617.88,7472308452.87,5264724973.39,4642050822.65,4437153789.53,3492950720.58,3176750783.92,2781318487.65,2521969235.77,2077262009.20,2009203576.52,1924788339.95,1691548714.61,1357205400.00,1234815839.29,1032094446.25,691961327.22,563809680.67,698047905.65,0.0
