,code,name,mbrg,nprg,nav,targ,epsg,seg
1629,600818,中路股份,-0.8159,-72.8084,-1.8155,6.7981,-76.0,-3.5876
1630,600162,香江控股,-27.8599,-73.8604,-3.6855,10.5499,-88.7567,2.9149
1631,600759,洲际油气,264.7017,-74.1008,10.6297,23.3089,-79.6897,8.3457
1632,600539,ST狮头,-6.334,-74.9002,-1.0007,-0.5541,-75.8065,-1.0007
1633,600503,华丽家族,39.7164,-75.691,0.1214,15.045,-76.4706,2.3067
1634,000692,惠天热电,4.9237,-75.7965,3.7223,5.69,-75.8107,3.7223
1635,600136,当代明诚,-50.896,-75.8765,9.7191,-16.079,-74.2857,9.8588
1636,002200,*ST云投,-37.7066,-79.2049,-27.2372,-6.7961,-79.661,-27.2667
1637,600565,迪马股份,31.7452,-79.676,1.3906,33.2382,-76.3314,0.1291
1638,000517,荣安地产,-63.9871,-80.6067,34.7825,132.2631,-82.4925,34.7825
1639,601005,重庆钢铁,40.5562,-80.9663,3.4606,28.2885,-80.0,0.7914
1640,000416,民生控股,15.3534,-81.4953,0.4825,2.9536,-90.9169,1.2679
1641,002235,安妮股份,11.0571,-81.69800000000001,5.0242,18.5636,-89.6552,-2.227
1642,600159,大龙地产,-33.5152,-81.8287,11.3657,-17.1924,-90.3846,11.4036
1643,002047,宝鹰股份,9.2495,-82.3371,-3.5656,-2.7695,-70.5882,3.5177
1644,600603,广汇物流,-100.0,-83.7931,,670.3331,-83.7209,0.6552
1645,600803,新奥股份,-7.3685,-84.1197,-14.0804,-5.9514,-98.0,-11.6963
1646,000036,华联控股,-81.9574,-85.0795,4.5427,23.3563,-82.8092,3.0311
1647,600297,广汇汽车,-28.6716,-85.2642,-0.5693,-15.4368,-90.2208,-0.9482
1648,000407,胜利股份,18.1984,-86.6574,8.8793,18.3919,-88.4615,9.4141
1649,000100,TCL科技,18.0194,-88.7406,142.7143,89.5557,9.7826,101.6999
1650,002034,旺能环境,20.3153,-89.3534,-2.3435,-6.7728,-92.0,0.2105
1651,000150,宜华健康,-85.9157,-91.1295,5.1459,-10.4296,-91.1091,5.1459
1652,600588,用友网络,20.837,-91.5369,6.9618,29.8474,-92.5217,7.4238
1653,000806,ST银河,-3.0023,-91.9723,1.5106,2.7069,-98.5423,1.5911
1654,002305,南国置业,-75.8979,-93.4433,120.5815,67.4471,-94.16,79.4088
1655,600156,华升股份,-11.177999999999999,-93.4973,-0.1942,-4.3391,-80.5369,0.1239
1656,000981,ST银亿,-60.5995,-94.7558,223.2959,-14.9168,-92.546,230.6078
1657,000789,万年青,20.4733,-94.8319,4.909,9.7248,-183.3333,3.1926
1658,000599,青岛双星,42.6845,-96.2144,3.6474,17.6494,-96.2791,3.6593
